Iteration, Score
1, 23.96
1, 21.84
1, 15.49
1, 14.285
1, 14.23
1, 10.005
1, 6.825
1, 4.775
1, 3.41
1, 3.01
1, 2.935
1, 2.7
1, 0.615
1, 0.435
1, -1.49
1, -1.97
1, -3.035
1, -3.56
1, -5.78
1, -6.295
2, 25.76
2, 23.96
2, 21.84
2, 14.67
2, 12.485
2, 10.765
2, 10.18
2, 8.82
2, 6.295
2, 5.615
2, 3.945
2, 3.315
2, 3.055
2, 2.475
2, 1.76
2, 1.19
2, -0.13
2, -0.645
2, -4.35
2, -6.465
3, 33.85
3, 25.76
3, 23.96
3, 22.25
3, 17.78
3, 13.835
3, 11.37
3, 10.105
3, 6.735
3, 6.325
3, 6.285
3, 5.495
3, 4.79
3, 2.57
3, 2.57
3, 2.445
3, 1.575
3, -1.11
3, -3.51
3, -3.64
4, 33.85
4, 33.705
4, 29.165
4, 25.76
4, 24.645
4, 17.04
4, 15.21
4, 14.1
4, 10.64
4, 10.105
4, 3.78
4, 2.945
4, 2.255
4, -0.99
4, -1.02
4, -3.745
4, -4.08
4, -4.95
4, -5.315
4, -7.82
5, 33.85
5, 33.705
5, 31.745
5, 27.785
5, 25.955
5, 20.09
5, 15.15
5, 13.06
5, 12.125
5, 11.51
5, 6.38
5, 5.78
5, 1.94
5, 1.26
5, 0.915
5, 0.405
5, 0.26
5, -0.255
5, -0.73
5, -0.78
6, 39.79
6, 37.79
6, 33.85
6, 33.705
6, 28.055
6, 25.365
6, 22.725
6, 16.13
6, 14.725
6, 12.835
6, 12.18
6, 8
6, 7.04
6, 4.75
6, 2.345
6, 2.115
6, 0.475
6, 0.305
6, -2.94
6, -3.165
7, 39.79
7, 37.79
7, 36.01
7, 24.61
7, 22.875
7, 21.775
7, 18.925
7, 18.795
7, 17.435
7, 15.32
7, 11.3
7, 11.01
7, 10.69
7, 6.605
7, 2.595
7, 2.3
7, 1.945
7, 0.73
7, 0.585
7, -2.755
8, 43.93
8, 39.79
8, 37.79
8, 23.44
8, 23.39
8, 19.82
8, 13.72
8, 13.1
8, 12.84
8, 12.385
8, 11.125
8, 9.16
8, 9.095
8, 5.9
8, 5.42
8, 1.785
8, -1.005
8, -1.265
8, -2.59
8, -8.02
9, 44.87
9, 43.93
9, 39.79
9, 27.305
9, 26.46
9, 24.64
9, 22.87
9, 20.23
9, 19.98
9, 19.67
9, 19.155
9, 19.025
9, 16.065
9, 15.78
